[Time];[G1.X];[G1.Y];[G1.Z];[G2.X];[G2.Y];[G2.Z];[G3.X];[G3.Y];[G3.Z];[G4.X];[G4.Y];[G4.Z];[A1.X];[A1.Y];[A1.Z];[A2.X];[A2.Y];[A2.Z];[A3.X];[A3.Y];[A3.Z];[A4.X];[A4.Y];[A4.Z];[M1.X];[M1.Y];[M1.Z];[M2.X];[M2.Y];[M2.Z];[M3.X];[M3.Y];[M3.Z];[M4.X];[M4.Y];[M4.Z];[EMG1];[EMG2];[PULSEA];[PULSEB]
0;-0.297550927;-1.655603876;0.068665599;0.633249409;0.679026474;2.769512474;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.683665217;-0.217227436;-0.638620584;0.331486992;-0.080628672;-0.873975738;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.00967422;0.024261845;-0.304783703;0.088654917;-0.015472648;-0.030487526;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.500038148;2.828412299;0.825012589;2.475037766
0.02;0.999465934;-2.647440299;-0.053406577;1.457236591;0.312809949;2.067597467;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.680857557;-0.212832837;-0.649851225;0.331609064;-0.074769207;-0.87409781;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.011261158;0.024994278;-0.304295415;0.088410773;-0.013641566;-0.011444266;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.857709621;2.867475395;0.825012589;2.475037766
0.04;2.128633555;-4.005493248;-0.328068971;2.265964752;0.099183642;1.457236591;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.681345846;-0.208560311;-0.647409781;0.330754559;-0.075379568;-0.875928893;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.007660029;0.025360494;-0.304234379;0.090669108;-0.01248188;-0.022125582;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.878461891;2.858930343;0.825012589;2.475037766
0.06;1.960784314;-4.570077058;-1.121538109;2.113374533;-0.114442664;1.350423438;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.680003052;-0.214297704;-0.643747616;0.332219425;-0.083558404;-0.873731594;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.009918364;0.023590448;-0.303135729;0.093537804;-0.011871519;-0.026276036;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.869916838;2.872358282;0.825012589;2.475037766
0.08;0.740062562;-4.234378576;-2.037079423;1.640344854;0.08392462;1.792935073;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.676218814;-0.223331045;-0.628976883;0.332219425;-0.089295796;-0.870191501;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.009552148;0.023529412;-0.304295415;0.089692531;-0.012237736;-0.033661402;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.879682612;2.872358282;0.825012589;2.475037766
0.1;-0.129701686;-2.281223774;-2.113374533;0.495918212;0.770580606;1.655603876;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.675242237;-0.22870222;-0.615304799;0.330632487;-0.093812467;-0.874708171;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.010223545;0.024383917;-0.305088884;0.091035325;-0.01699855;-0.026703288;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.86381323;2.868696117;0.825012589;2.475037766
0.12;-0.663767453;-0.144960708;-1.60982681;-0.053406577;1.640344854;2.357518883;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.673655299;-0.234805829;-0.613351644;0.329533837;-0.092103456;-0.863843748;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.010894942;0.023895628;-0.30484474;0.092256046;-0.013214313;-0.029510948;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.873579004;2.900434882;0.825012589;2.475037766
0.14;-1.136797131;1.014724956;-0.862134737;-0.602731365;2.555886168;2.555886168;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.678416114;-0.235294118;-0.62043183;0.335637446;-0.097840848;-0.868238346;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.011017014;0.023834592;-0.304478523;0.089814603;-0.013702602;-0.028900588;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.883344778;2.862592508;0.825012589;2.475037766
0.16;-1.777676051;0.465400168;-0.755321584;-1.441977569;2.57114519;2.647440299;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.685984588;-0.234805829;-0.630807965;0.342473487;-0.096375982;-0.870069429;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.010528725;0.023041123;-0.304539559;0.089509422;-0.015960937;-0.01980621;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.87113756;2.883344778;0.825012589;2.475037766
0.18;-1.838712139;-0.770580606;-0.846875715;-1.564049744;2.113374533;2.357518883;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.688792248;-0.224795911;-0.639353018;0.343205921;-0.092957961;-0.870923934;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.009857328;0.025055314;-0.303196765;0.086945907;-0.014618143;-0.014801251;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.874799725;2.887006943;0.825012589;2.475037766
