Data collection started on {01/24/2018 14:13:47.471}
[Time] 	 [G1.X] 	 [G1.Y] 	 [G1.Z] 	 [G2.X] 	 [G2.Y] 	 [G2.Z] 	 [G3.X] 	 [G3.Y] 	 [G3.Z] 	 [G4.X] 	 [G4.Y] 	 [G4.Z] 	 [A1.X] 	 [A1.Y] 	 [A1.Z] 	 [A2.X] 	 [A2.Y] 	 [A2.Z] 	 [A3.X] 	 [A3.Y] 	 [A3.Z] 	 [A4.X] 	 [A4.Y] 	 [A4.Z] 	 [M1.X] 	 [M1.Y] 	 [M1.Z] 	 [M2.X] 	 [M2.Y] 	 [M2.Z] 	 [M3.X] 	 [M3.Y] 	 [M3.Z] 	 [M4.X] 	 [M4.Y] 	 [M4.Z] 	 [EMG1] 	 [EMG2] 	 [PULSE A] 	 [PULSE B]	
0.0000000000	-0.2975509270	-1.6556038758	0.0686655985	0.6332494087	0.6790264744	2.7695124743	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6836652171	-0.2172274357	-0.6386205844	0.3314869917	-0.0806286717	-0.8739757382	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0096742199	0.0242618448	-0.3047837034	0.0886549172	-0.0154726482	-0.0304875257	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.5000381476	2.8284122988	0.8250125887	2.4750377661	
0.0200000000	0.9994659342	-2.6474402991	-0.0534065766	1.4572365911	0.3128099489	2.0675974670	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6808575570	-0.2128328374	-0.6498512245	0.3316090639	-0.0747692073	-0.8740978103	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0112611582	0.0249942779	-0.3042954147	0.0884107729	-0.0136415656	-0.0114442664	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8577096208	2.8674753948	0.8250125887	2.4750377661	
0.0400000000	2.1286335546	-4.0054932479	-0.3280689708	2.2659647517	0.0991836423	1.4572365911	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6813458457	-0.2085603113	-0.6474097810	0.3307545586	-0.0753795682	-0.8759288930	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0076600290	0.0253604944	-0.3042343786	0.0906691081	-0.0124818799	-0.0221255818	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8784618906	2.8589303426	0.8250125887	2.4750377661	
0.0600000000	1.9607843137	-4.5700770581	-1.1215381094	2.1133745327	-0.1144426642	1.3504234379	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6800030518	-0.2142977035	-0.6437476158	0.3322194247	-0.0835584039	-0.8737315938	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0099183642	0.0235904479	-0.3031357290	0.0935378042	-0.0118715190	-0.0262760357	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8699168383	2.8723582818	0.8250125887	2.4750377661	
0.0800000000	0.7400625620	-4.2343785763	-2.0370794232	1.6403448539	0.0839246204	1.7929350729	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6762188144	-0.2233310445	-0.6289768826	0.3322194247	-0.0892957961	-0.8701915007	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0095521477	0.0235294118	-0.3042954147	0.0896925307	-0.0122377356	-0.0336614023	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8796826123	2.8723582818	0.8250125887	2.4750377661	
0.1000000000	-0.1297016861	-2.2812237736	-2.1133745327	0.4959182116	0.7705806058	1.6556038758	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6752422370	-0.2287022202	-0.6153047990	0.3306324865	-0.0938124666	-0.8747081712	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0102235447	0.0243839170	-0.3050888838	0.0910353246	-0.0169985504	-0.0267032883	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8638132296	2.8686961166	0.8250125887	2.4750377661	
0.1200000000	-0.6637674525	-0.1449607080	-1.6098268101	-0.0534065766	1.6403448539	2.3575188830	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6736552987	-0.2348058289	-0.6133516442	0.3295338369	-0.0921034562	-0.8638437476	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0108949416	0.0238956283	-0.3048447395	0.0922560464	-0.0132143130	-0.0295109483	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8735790036	2.9004348821	0.8250125887	2.4750377661	
0.1400000000	-1.1367971313	1.0147249561	-0.8621347372	-0.6027313649	2.5558861677	2.5558861677	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6784161135	-0.2352941176	-0.6204318303	0.3356374456	-0.0978408484	-0.8682383459	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0110170138	0.0238345922	-0.3044785229	0.0898146029	-0.0137026017	-0.0289005875	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8833447776	2.8625925078	0.8250125887	2.4750377661	
0.1600000000	-1.7776760510	0.4654001678	-0.7553215839	-1.4419775692	2.5711451896	2.6474402991	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6859845884	-0.2348058289	-0.6308079652	0.3424734874	-0.0963759823	-0.8700694285	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0105287251	0.0230411231	-0.3045395590	0.0895094224	-0.0159609369	-0.0198062104	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8711375601	2.8833447776	0.8250125887	2.4750377661	
0.1800000000	-1.8387121386	-0.7705806058	-0.8468757153	-1.5640497444	2.1133745327	2.3575188830	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.6887922484	-0.2247959106	-0.6393530175	0.3432059205	-0.0929579614	-0.8709239338	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	-0.0098573281	0.0250553140	-0.3031967651	0.0869459068	-0.0146181430	-0.0148012512	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	2.8747997253	2.8870069429	0.8250125887	2.4750377661	
